DateTime,Prediction,Actual,Model,Company,RMSE
2024-10-04 12:00:00,34.9526982658391,34.31999969482422,online,AXA,31.140826553310944
2024-10-04 13:00:00,34.940044294418804,34.38999938964844,online,AXA,31.132916221637917
2024-10-04 13:30:00,162.83625675037754,165.8699951171875,online,Google,31.1250845371338
2024-10-04 13:30:00,180.3414444061736,180.02999877929688,online,Toyota,31.117184557888304
2024-10-04 13:30:00,100.76106323712034,114.8499984741211,online,Alibaba,31.110908396310545
2024-10-04 13:30:00,44.7249239550281,45.72999954223633,online,HSBC,31.103027469570893
2024-10-04 14:00:00,34.929043396323394,34.459999084472656,online,AXA,31.09514609744476
2024-10-04 14:30:00,162.89693151771374,165.72000122070312,online,Google,31.087333858505964
2024-10-04 14:30:00,180.33521549363607,179.5,online,Toyota,31.079468333250944
2024-10-04 14:30:00,101.04284194186036,114.1500015258789,online,Alibaba,31.07300212936037
2024-10-04 14:30:00,44.74502546677227,45.59999847412109,online,HSBC,31.06514846170187
2024-10-04 15:00:00,34.919662510086376,34.369998931884766,online,AXA,31.057297261591337
2024-10-04 15:30:00,162.95339291177353,166.06849670410156,online,Google,31.04952851666429
2024-10-04 15:30:00,180.31851118376332,179.7100067138672,online,Toyota,31.041689748608363
2024-10-04 15:30:00,101.30498513354073,114.26000213623048,online,Alibaba,31.03521885448732
2024-10-04 15:30:00,44.76212492691924,45.59999847412109,online,HSBC,31.027394306487157
2024-10-04 16:30:00,163.0156949876201,166.16000366210938,online,Google,31.0196503368652
2024-10-04 16:30:00,180.30634109436545,179.44000244140625,online,Toyota,31.0118379986005
2024-10-04 16:30:00,101.56408547359452,114.5250015258789,online,Alibaba,31.00539021888253
2024-10-04 16:30:00,44.77888239786328,45.70000076293945,online,HSBC,30.99759013770953
2024-10-04 17:30:00,163.07858116110987,166.07000732421875,online,Google,30.989861720272717
2024-10-04 17:30:00,180.28901432130624,179.33999633789062,online,Toyota,30.982073820308777
2024-10-04 17:30:00,101.8233037946402,114.3249969482422,online,Alibaba,30.97555290566477
2024-10-04 17:30:00,44.7973047651648,45.70500183105469,online,HSBC,30.967775810248696
2024-10-04 18:30:00,163.13840968437205,166.42999267578125,online,Google,30.960085776702936
2024-10-04 18:30:00,180.27003396163792,179.74000549316406,online,Toyota,30.95231597346997
2024-10-04 18:30:00,102.07333765771224,114.61000061035156,online,Alibaba,30.94582392972347
2024-10-04 18:30:00,44.8154587064826,45.76499938964844,online,HSBC,30.938070529074256
2024-10-04 19:30:00,163.20424134420023,167.05999755859375,online,Google,30.930436119818697
2024-10-04 19:30:00,180.25943339226845,179.9600067138672,online,Toyota,30.922687770176303
2024-10-04 19:30:00,102.32407091676502,114.5199966430664,online,Alibaba,30.91614912001047
2024-10-04 19:30:00,44.83444952014592,45.85499954223633,online,HSBC,30.908419810343823
2024-10-07 07:00:00,34.90866923852234,34.2400016784668,online,AXA,30.900691491984063
2024-10-07 08:00:00,34.89529588732123,34.5099983215332,online,AXA,30.892966554582323
2024-10-07 09:00:00,34.88758993600547,34.59000015258789,online,AXA,30.88524692443934
2024-10-07 10:00:00,34.88163814033712,34.560001373291016,online,AXA,30.87753319957725
2024-10-07 11:00:00,34.875205404996194,34.54999923706055,online,AXA,30.869825270944187
2024-10-07 12:00:00,34.868701281637485,34.70000076293945,online,AXA,30.862122487736464
2024-10-07 13:00:00,34.865327271263524,34.41999816894531,online,AXA,30.85442684084016
2024-10-07 13:30:00,163.2813564684881,166.82000732421875,online,Google,30.846836529363607
2024-10-07 13:30:00,180.2534448587004,177.44000244140625,online,Toyota,30.839214703000536
2024-10-07 13:30:00,102.56798943129104,115.63999938964844,online,Alibaba,30.83291468189568
2024-10-07 13:30:00,44.85486052058773,45.630001068115234,online,HSBC,30.825244880856584
2024-10-07 14:00:00,34.85642068921716,34.36000061035156,online,AXA,30.81757794470832
2024-10-07 14:30:00,163.35212948560272,165.94140625,online,Google,30.809968843160235
2024-10-07 14:30:00,180.19717601035453,177.7899932861328,online,Toyota,30.802358088119597
2024-10-07 14:30:00,102.8294296304582,115.18000030517578,online,Alibaba,30.79593659155204
2024-10-07 14:30:00,44.87036333153828,45.66999816894531,online,HSBC,30.78829533233553
2024-10-07 15:00:00,34.84649228763985,34.400001525878906,online,AXA,30.78065621581741
2024-10-07 15:30:00,163.40391502089065,165.27999877929688,online,Google,30.77304954458298
2024-10-07 15:30:00,180.14903235587008,177.60800170898438,online,Toyota,30.76547220405439
2024-10-07 15:30:00,103.07644104395256,115.53500366210938,online,Alibaba,30.75909881272912
2024-10-07 15:30:00,44.88635602828642,45.685001373291016,online,HSBC,30.75148559656282
2024-10-07 16:30:00,163.4414366960588,164.88999938964844,online,Google,30.74388979449972
2024-10-07 16:30:00,180.09821174293236,178.08999633789062,online,Toyota,30.736315206879453
2024-10-07 16:30:00,103.3256122963157,116.46589660644533,online,Alibaba,30.730103247340796
2024-10-07 16:30:00,44.90232893518651,45.77000045776367,online,HSBC,30.722513183866443
2024-10-07 17:30:00,163.47040794993055,163.8800048828125,online,Google,30.71492404188417
2024-10-07 17:30:00,180.05804743483154,177.77999877929688,online,Toyota,30.707380901590987
2024-10-07 17:30:00,103.5884179825183,116.61000061035156,online,Alibaba,30.70116469272841
2024-10-07 17:30:00,44.91968236563805,45.595001220703125,online,HSBC,30.693594368647616
2024-10-07 18:30:00,163.4785998885882,163.44000244140625,online,Google,30.68602599328264
2024-10-07 18:30:00,180.01248646172084,177.30999755859375,online,Toyota,30.67852186716088
